Name ;Township ;District ;PostCode  
Bago ;Bago ;Bago ;08011
Bago Collage ;Bago ;Bago ;08018
Oakthamyothit ;Bago ;Bago ;08017
Phayagyi ;Bago ;Bago ;08013
Inntakaw ;Bago ;Bago ;08016
Htongyi ;Bago ;Bago ;08015
Pyinpongyi ;Bago ;Bago ;08012
Kyauktan ;Bago ;Bago ;08014
Thayaaye ;Bago ;Bago ;08019
Katoke ;Bago ;Bago ;08063
Tarwayedagar ;Bago ;Bago ;08084
Deiku ;Deiku ;Bago ;08061
Phaungdawthi ;Deiku ;Bago ;08062
Ayethukha ;Deiku ;Bago ;08064
Paaungwe ;Deiku ;Bago ;- 
Thongwa ;Deiku ;Bago ;- 
Gyobingauk ;Gyobingauk ;Tharrawaddy ;08231
Khunitywa ;Gyobingauk ;Tharrawaddy ;- 
Htantabin ;Htantabin ;Taungoo ;08131
Zayatgyi ;Htantabin ;Taungoo ;08132
Natywa ;Htantabin ;Taungoo ;- 
Kinpunchone ;Htantabin ;Taungoo ;- 
Ohnpin ;Htantabin ;Taungoo ;- 
Thayet tan ;Htantabin ;Taungoo ;- 
Kawa ;Kawa ;Bago ;08091
Thatgala ;Kawa ;Bago ;08094
Ohnnhe ;Kawa ;Bago ;08093
Kyaukgyi ;Kyaukgyi ;Bago ;08041
Natthankwin ;Kyaukgyi ;Taungoo ;08042
Mone ;Kyaukgyi ;Taungoo ;08143
Kyauktagar ;Kyauktagar ;Bago ;08021
Penwegone ;Kyauktagar ;Bago ;08023
Phado ;Kyauktagar ;Bago ;08024
Tawkyweinn ;Kyauktagar ;Bago ;08022
Thahtaygone ;Kyauktagar ;Bago ;08025
Letpadan ;Letpadan ;Tharrawaddy ;08271
Tharawaw ;Letpadan ;Tharrawaddy ;08273
Zeephyugone ;Letpadan ;Tharrawaddy ;08272
Khamonsake ;Letpadan ;Tharrawaddy ;08274
Nyaungwine ;Letpadan ;Tharrawaddy ;- 
Minhla ;Minhla ;Tharrawaddy ;08261
Sitkwin ;Minhla ;Tharrawaddy ;08262
Hsin-I ;Minhla ;Tharrawaddy ;- 
Thayargone ;Minhla ;Tharrawaddy ;- 
Moenyo ;Moenyo ;Tharrawaddy ;08241
Htaintaw ;Moenyo ;Tharrawaddy ;08243
Yaekin ;Moenyo ;Tharrawaddy ;08242
Pathtaw ;Moenyo ;Tharrawaddy ;08244
Nattalin ;Nattalin ;Tharrawaddy ;08211
Tarpon ;Nattalin ;Tharrawaddy ;08212
Taungnyo ;Nattalin ;Tharrawaddy ;08213
Damange ;Nattalin ;Tharrawaddy ;08214
Nyaunglaybin ;Nyaunglaybin ;Bago ;08031
Painzalote ;Nyaunglaybin ;Bago ;08032
Pyuntansar ;Nyaunglaybin ;Bago ;08034
Tawwi ;Nyaunglaybin ;Bago ;- 
Pazunmyaung ;Nyaunglaybin ;Bago ;- 
Oakpho ;Oakpho ;Tharrawaddy ;08251
Ayemyathayar ;Oakpho ;Tharrawaddy ;08253
O-Thegone ;Oakpho ;Tharrawaddy ;08252
Thafanpinsate ;Oakpo ;Tharrawaddy ;- 
Oaktwin ;Oaktwin ;Taungoo ;08121
Kywebwe ;Oaktwin ;Taungoo ;08122
Nyaungchayhtut ;Oaktwin ;Taungoo ;08123
Banbwaykone ;Oaktwin ;Taungoo ;- 
Padaung ;Padaung ;Pyay ;08171
Hsinde ;Padaung ;Pyay ;08174
Htone Bo ;Padaung ;Pyay ;08173
Kwinhla ;Padaung ;Pyay ;08176
Oakshitbyin ;Padaung ;Pyay ;08175
Thuyetan ;Pandaung ;Pyay ;08172
Paukkhaung ;Paukkhaung ;Pyay ;08161
Paungde ;Paungde ;Pyay ;08201
Hmattaing ;Paungde ;Pyay ;08202
Thafangone ;Paungde ;Pyay ;08203
Phayar Ngasu ;Paungde ;Pyay ;- 
Phyu ;Phyu ;Taungoo ;08141
Kannyuntkwin ;Phyu ;Bago ;08145
Zayyawadi ;Phyu ;Taungoo ;08142
Nyaungbintha ;Phyu ;Taungoo ;08144
Dawmakwin ;Phyu ;Taungoo ;- 
Pyay ;Pyay ;Pyay ;08151
Wethteekan ;Pyay ;Pyay ;08155
Paungdale ;Pyay ;Pyay ;08154
Pyay University;Pyay ;Pyay ;08156
Khittayar Myothit ;Pyay ;Pyay ;08152
Hmawzar ;Pyay ;Pyay ;08153
Titut ;Pyay ;Pyay ;- 
Shwedaung ;Shwedaung ;Pyay ;08181
Kyeethe ;Shwedaung ;Pyay ;08182
Tayokehmaw ;Shwedaung ;Pyay ;08183
Shwekyin ;Shwekyin ;Bago ;08051
Madauk ;Shwekyin ;Bago ;08033
Donzayat ;Shwekyin ;Bago ;- 
Taungoo ;Taungoo ;Taungoo ;08101
Kaytumadi ;Taungoo ;Taungoo ;08104
Kyaetaw ;Taungoo ;Taungoo ;08103
TaungooUniversity ;Taungoo ;Taungoo ;08105
Thanapin ;Thanapin ;Bago ;08081
Yitkangyi ;Thanapin ;Bago ;08092
Kamasae' ;Thanapin ;Bago ;08083
Kyungyi ;Thanapin ;Bago ;08085
Minywa ;Thanapin ;Bago ;08082
Kalarchaunggyi ;Thanapin ;Bago ;08086
Mamouk ;Thanapin ;Bago ;- 
Tharrawaddy ;Tharrawaddy ;Tharrawaddy ;08281
Thoneze ;Tharrawaddy ;Tharrawaddy ;08282
Sanyawe ;Tharrawaddy ;Tharrawaddy ;08232
Thegone ;Thegone ;Pyay ;08191
Padegone ;Thegone ;Pyay ;08193
Sinhmeeswe ;Thegone ;Pyay ;08192
Innma ;Thegone ;Pyay ;08194
Wetpoke ;Thegone ;Pyay ;08195
Launggyi ;Thegone ;Pyay ;- 
Oaktwingone ;Thegone ;Pyay ;- 
Waw ;Waw ;Bago ;08071
Nyaungkharshe ;Waw ;Bago ;08072
Thuyethamain ;Waw ;Bago ;08073
Myitkyo ;Waw ;Bago ;08074
Naungpataya ;Waw ;Bago ;- 
Ahbar ;Waw ;Bago ;- 
Yedashe ;Yedashe ;Taungoo ;08111
Swa ;Yedashe ;Taungoo ;08115
Yeni ;Yedashe ;Taungoo ;08112
Myohla ;Yedashe ;Taungoo ;08113
Thagaya ;Yedashe ;Taungoo ;08114
Laymyethnar ;Zeegon ;Tharrawaddy ;08222
Zeegone ;Zeegone ;Tharrawaddy ;08221
