Name ;Township ;District ; PostCode  
Hakha ;Hakha ;Falam ;03011
Falam ;Falam ;Falam ;03031
Mindat ;Mindat ;Mindat ;03071
Teetain ;Teetain ;Falam ;03041
Matupi ;Matupi ;Mindat ;03061
Kalay University ;Teetain ;Falam ;03044
Htantalan ;Htantalan ;Falam ;03021
Htotehlaing ;Teetain ;Falam ;03042
Tunzan ;Tunzan ;Falam ;03051
Kanpetlat ;Kanpetlat ;Falam ;03081
Reed ;Falam ;Falam ;03033
Rezwa ;Matupi ;Mindat ;03062
Su-Khua ;Hakah ;Falam ;03012
Loneban ;Falam ;Falam ;03032
Hnarain ;Htantalan ;Falam ;03022
Kattel ;Teetain ;Falam ;03043
Kyeekhar ;Twinzan ;Falam ;03052
Dokeywar ;Mindat ;Mindat ;03072
Lailanpi ;Matupi ;Mindat ;03063
Sabaung the ;Matupi ;Mindat ;03065
Zokwar ;Hakah ;Falam ;03013
Satter ;Hakah ;Falam ;03014
Ramkala ;Falam ;Falam ;03034
Kalawmon ;Falam ;Falam ;03035
Thikee ;Htantalan ;Falam ;03023
Faroom ;Htantalan ;Falam ;03024
Harainkhan ;Htantalan ;Falam ;03025
Khonkyone ;Hakah ;Falam ;03015
Thinan ;Hakah ;Falam ;03016
Tweehtan ;Teetain ;Falam ;03045
Makweinnuu ;Mindat ;Mindat ;03073
Oakka ;Matupi ;Mindat ;03064
Mamata ;Mindat ;Mindat ;03074
Aukchang ;Mindat ;Mindat ;03075
Darochain ;Hakah ;Falam ;03017
Saizang ;Teetain ;Falam ;03046
Shinbaung ;Kanpetlat ;Mindat ;03082
