Name ;Township ;District ;PostCode 
; ; ; 
Loikaw ;Loikaw ;Loikaw ;09011
Bawlakhe ;Bawlakhe ;Bawlakhe ;09041
Shartaw ;Shartaw ;Loikaw ;09071
Phasaung ;Phasaung ;Bawlakhe ;09051
Demohso ;Demohso ;Loikaw ;09021
Lawpita ;Loikaw ;Loikaw ;09012
Pharuso ;Pharuso ;Loikaw ;09031
Dawtamagyi ;Demoso ;Loikaw ;09022
Pekin ;Phiekon(Shan) ;Loikaw ;09081
Ywa Thit ;Bawlakhe ;Bawlakhe ;09042
Mawchee ;Phasaung ;Bawlakhe ;09052
Meisei ;Meisei ;Bawlakhe ;09061
Loikaw University ;Loikaw ;Loikaw ;09013
Loilenlay ;Loikaw ;Loikaw ;09014
