Name ;Township ;District ;PostCode  
Aunglan ;Aunglan ;Thayet ;04151
Kyawswa ;Aunglan ;Thayet ;04152
Pyalo ;Aunglan ;Thayet ;04153
Nyaungbinseik ;Aunglan ;Thayet ;- 
Shwepantaw ;Aunglan ;Thayet ;- 
Chauk ;Chauk ;Magwe ;04171
Salay ;Chauk ;Magwe ;04172
Chauk (GTC) ;Chauk ;Magwe ;04174
Gwaycho ;Chauk ;Magwe ;04173
Gwaybin ;Chauk ;Magwe ;04175
Pakhanngwe ;Chauk ;Magwe ;04176
Twinlat ;Chauk ;Magwe ;- 
Taungtar ;Chauk ;Magwe ;- 
Gyine ;Chauk ;Magwe ;- 
Yeohsin ;Chauk ;Magwe ;- 
Gantgaw ;Gantgaw ;Gantgaw ;04211
Kyaw ;Gantgaw ;Gantgaw ;04212
Kanywa ;Gantgaw ;Gantgaw ;04214
Hanthawaddy ;Gantgaw ;Gantgaw ;04215
Minywa ;Gantgaw ;Gantgaw ;04216
Taungkhinyan ;Gantgaw ;Gantgaw ;- 
Saymintaw ;Htilin ;Gantgaw ;- 
Nyaungkan ;Htilin ;Gantgaw ;- 
Yemyetni ;Htilin ;Gantgaw ;- 
Htilinn ;Htilinn ;Gantgaw ;04221
Kyin ;Htilinn ;Gantgaw ;04222
Kanma (Thayet) ;Kanma ;Thayet ;04111
Kyobin ;Kanma ;Thayet ;04112
Yenantha ;Kanma ;Thayet ;04113
Sitsayan ;Kanma ;Thayet ;- 
Magwe ;Magwe ;Magwe ;04011
Michaungye ;Magwe ;Magwe ;04014
Magwe University ;Magwe ;Magwe ;04012
Yanpae (Magwe) ;Magwe ;Magwe ;04016
Myinkwon ;Magwe ;Magwe ;04013
Thityarkauk ;Magwe ;Magwe ;04015
Thityarkauk (M.C) ;Magwe ;Magwe ;04017
Basic Healt Unversity ;Magwe ;Magwe ;04018
Nyaungkan ;Magwe ;Magwe ;- 
Minywa ;Magwe ;Magwe ;- 
Yinseik ;Magwe ;Magwe ;- 
Chaing ;Magwe ;Magwe ;- 
Minbu ;Minbu ;Minbu ;04021
Sagu ;Minbu ;Minbu ;04023
Manyenanmyae ;Minbu ;Minbu ;04025
Minbuzay ;Minbu ;Minbu ;04022
Hmanhtaung ;Minbu ;Minbu ;- 
Singaung ;Minbu ;Minbu ;- 
Ywathaya ;Minbu ;Minbu ;- 
Latpataw ;Minbu ;Minbu ;- 
Mindonn ;Mindonn ;Thayet ;04101
Minhla (Thayet) ;Minhla ;Thayet ;04071
Malon ;Minhla ;Thayet ;04072
Kantoke ;Minhla ;Thayet ;04073
Yenanma ;Minhla ;Thayet ;- 
Kyaukgyi ;Mintone ;Thayet ;- 
Myaukpyin ;Mintone ;Thayet ;- 
Myaing ;Myaing ;Minbu ;04191
Linkataw ;Myaing ;Pakokku ;04192
