Name ;Township ;District ;PostCode  
Amarapura ;Amarapura ;Mandalay ;05061
Myitnge ;Amarapura ;Mandalay ;05062
Yadanarpon University ;Amarapura ;Mandalay ;05063
Boneoh ;Amarapura ;Mandalay ;05064
Dakhontaing ;Amarapura ;Mandalay ;- 
Mandalay (GPO) ;Aungmyaethazan;Mandalay ;05011
Man (myaukpyin) ;Aungmyaethazan ;Mandalay ;05013
Mandalay Nantwin ;Aungmyaethazan ;Mandalay ;05012
Man (Ashaepyin) ;Aungmyaethazan ;Mandalay ;05014
Eaindawya ;Aungmyaethazan ;Mandalay ;05015
Yonegyi ;Chanayethazan ;Mandalay ;05021
Man(West) ;Chanayethazan ;Mandalay ;05022
Zaycho ;Chanayethazan ;Mandalay ;05023
Mandalay Railway Station ;Chanayethazan ;Mandalay ;05024
Chanmyathazi ;Chanmyathazi ;Mandalay ;05041
Kyaukpadaung ;Kyaukpadaung ;Myingyan ;05241
Popa ;Kyaukpadaung ;Myingyan ;05242
Kanphyu ;Kyaukpadaung ;Myingyan ;- 
Kanni ;Kyaukpadaung ;Myingyan ;- 
Nyaungto ;Kyaukpadaung ;Myingyan ;- 
Mankyintaing ;Kyaukpadaung ;Myingyan ;- 
Latpanpyar ;Kyaukpadaung ;Myingyan ;- 
Kyaukse ;Kyaukse ;Kyaukse ;05151
Thanywa ;Kyaukse ;Kyaukse ;05152
Bellin ;Kyaukse ;Kyaukse ;05143
Theinnikan ;Kyaukse ;Kyaukse ;- 
Minsu ;Kyaukse ;Kyaukse ;- 
Madaya ;Madaya ;PyinOoLwin ;05121
Yenantha ;Madaya ;PyinOoLwin ;- 
Shanzu ;Mahaaungmyae ;Mandalay ;05031
Mandalay (University) ;Mahaaungmyae ;Mandalay ;05032
Kungyan ;Mahaaungmyae ;Mandalay ;05033
Mahlaing ;Mahlaing ;Meikhtila ;05201
Panaing ;Mahlaing ;Meikhtila ;- 
Hnawkan ;Mahlaing ;Meikhtila ;- 
Monepin ;Mahlaing ;Meikhtila ;- 
Saeto ;Mahlaing ;Meikhtila ;- 
Meikhtila ;Meikhtila ;Meikhtila ;05181
Meikhtila Cantonment ;Meikhtila ;Meikhtila ;05182
Meikhtila(BaSaKa) ;Meikhtila ;Meikhtila ;05183
Shante ;Meikhtila ;Meikhtila ;05184
Shanmange ;Meikhtila ;Meikhtila ;05185
Kantaung ;Meikhtila ;Yamethin ;05186
Tawma ;Meikhtila ;Meikhtila ;- 
Hmontaing ;Meikhtila ;Meikhtila ;- 
Yecho ;Meikhtila ;Meikhtila ;- 
Ahleywa ;Meikhtila ;Meikhtila ;- 
Pintalae' ;Meikhtila ;Meikhtila ;- 
Mogoke ;Mogoke ;PyinOoLwin ;05091
Kyatpyin ;Mogoke ;PyinOoLwin ;05092
Myingyan ;Myingyan ;Myingyan ;05251
Myingyan Myoma ;Myingyan ;Myingyan ;05252
Semekhone ;Myingyan ;Myingyan ;05253
Kyawzi ;Myingyan ;Myingyan ;- 
Talote ;Myingyan ;Myingyan ;- 
Htanaungtaing ;Myingyan ;Myingyan ;- 
Damike ;Myingyan ;Myingyan ;- 
Myitthar ;Myitthar ;Kyaukse ;05161
Kume ;Myitthar ;Kyaukse ;05162
Dayaegaung ;Myitthar ;Kyaukse ;- 
Thapyaytaung ;Myitthar ;Kyaukse ;- 
Shwetaung ;Myitthar ;Meikhtila ;- 
Nahtoegyi ;Nahtoegyi ;Myingyan ;05261
Pyinsi ;Nahtoogyi ;Myingyan ;05262
Wetloo ;Nahtoogyi ;Myingyan ;- 
Ngazune ;Ngazune ;Myingyan ;05281
Myotha ;Ngazune ;Myingyan ;05282
NyaungOo ;NyaungOo ;NyaungOo ;05231
Bagan ;NyaungOo ;NyaungOo ;05232
Singu ;NyaungOo ;NyaungOo ;05233
Ngathayouk ;NyaungOo ;NyaungOo ;05234
Latpanchaypaw ;NyaungOo ;NyaungOo ;05236
Taungzinn ;NyaungOo ;NyaungOo ;05235
Tatma ;NyaungOo ;NyaungOo ;- 
Myinkapa ;NyaungOo ;NyaungOo ;- 
Nganhmargyi ;Nyaungwun ;Myingyan ;05283
Kyauktalone ;Nyaungwun ;Myingyan ;- 
Minnaykone ;Nyaungwun ;Myingyan ;- 
Patheingyi ;Patheingyi ;Mandalay ;05071
MTU ;Patheingyi ;Mandalay ;05072
Htonbo ;Patheingyi ;Mandalay ;05073
Pyawbwe ;Pyawbwe ;Yamethin ;05211
Yanaung ;Pyawbwe ;Yamethin ;05212
Yintaw ;Pyawbwe ;Yamethin ;- 
Shwedar ;Pyawbwe ;Yamethin ;- 
Pyaygyidakhon ;Pyaygyidakhon ;Mandalay ;05051
Sathmutmyothit ;Pyaygyidakhon ;Mandalay ;05052
PyinOoLwin ;PyinOoLwin ;PyinOoLwin ;05081
PyinOoLwinCantonment ;PyinOoLwin ;PyinOoLwin ;05082
CSTC ;PyinOoLwin ;PyinOoLwin ;05083
Padaythamyothit ;PyinOoLwin ;PyinOoLwin ;05084
Ahneesakhan ;PyinOoLwin ;PyinOoLwin ;05085
Wetwun ;PyinOoLwin ;PyinOoLwin ;05086
Latpanhla ;Singu ;PyinOoLwin ;05112
Sintgu ;Sintgu ;PyinOoLwin ;05111
Htonegyi ;Sintgu ;PyinOoLwin ;05113
Ngareainhtaung ;Sintgu ;PyinOoLwin ;- 
Saethe ;Sintgu ;PyinOoLwin ;- 
Theinn ;Sintgu ;PyinOoLwin ;- 
Sintkaing ;Sintkaing ;Kyaukse ;05141
Paleik ;Sintkaing ;Kyaukse ;05142
Tadau ;Tadau ;Kyaukse ;05131
Gwaykone ;Tadau ;Kyaukse ;- 
Tanpae ;Tadau ;Kyaukse ;- 
Chaungkwa ;Tadau ;Kyaukse ;- 
Taungtha ;Taungtha ;Myingyan ;05271
Welaung ;Taungtha ;Myingyan ;05272
Yonesingyi ;Taungtha ;Myingyan ;05273
Ywathit ;Taungtha ;Myingyan ;05274
Semekan ;Taungtha ;Myingyan ;05275
Zajyan ;Taungtha ;Myingyan ;- 
Choneggyi ;Taungtha ;Myingyan ;- 
Dagaung ;Thabeikkyin ;PyinOoLwin ;05102
Kyarnyat ;Thabeikkyin ;PyinOoLwin ;- 
Twinnge ;Thabeikkyin ;PyinOoLwin ;- 
Thabeikkyin ;Thabikkyin ;PyinOoLwin ;05101
Tharzi ;Tharzi ;Meikhtila ;05191
Hanza ;Thazi ;Meikhtila ;05192
Nyaungyan ;Thazi ;Meikhtila ;05193
Sintaung ;Thazi ;Meikhtila ;- 
Yinmapin ;Thazi ;Meikhtila ;- 
Thedaw ;Wundwin ;Meikhtila ;05172
Wundwin ;Wundwin ;Meikhtila ;05171
Daingkaungkone ;Wundwin ;Meikhtila ;- 
Yamethin ;Yamethin ;Yamethin ;05221
Theinkonegyi ;Yamethin ;Yamethin ;05222
Nyaungloon ;Yamethin ;Yamethin ;- 
Myohla ;Yamethin ;Yamethin ;- 
Ywatan ;Yamethin ;Yamethin ;- 
