Name ;Township ;District ;  PostCode  
Beelin ;Beelin ;Mawlamyaing ;12031
Taungzon ;Beelin ;Mawlamyaing ;12032
Hninpale ;Beelin ;Thahton ;- 
Chaungsone ;Chaungsone ;Mawlamyaing ;12061
Ywalut ;Chaungsone ;Mawlamyaing ;12062
Kalwi ;Chaungsone ;Mawlamyaing ;12063
Muyitkalay ;Chaungsone ;Mawlamyaing ;12064
Kyaikhto ;Kyaikhto ;Mawlamyaing ;12021
Theinzayet ;Kyaikhto ;Mawlamyaing ;12022
Kyaikmaraw ;Kyaikmaraw ;Mawlamyaing ;12071
Nyaungbinseik ;Kyaikmaraw ;Mawlamyaing ;12072
Kyeikhteeyoyinpyin ;Kyeikhto ;Thahton ;12024
Mokepalin ;Kyeikhto ;Thahton ;12023
Sittaung ;Kyeikhto ;Thahton ;12026
Mayangone ;Kyeikhto ;Thahton ;12025
Kyeikkatha ;Kyeikhto ;Thahton ;12027
Boyagyi ;Kyeikhto ;Thahton ;- 
Kinmonechaung ;Kyeikhto ;Thahton ;- 
Tayanar ;Kyeikmayaw ;Mawlamyaing ;12073
Chaungnagwa ;Kyeikmayaw ;Mawlamyaing ;12074
Ngapyayma ;Kyeikmayaw ;Mawlamyaing ;- 
Painhegone ;Kyeikmayaw ;Mawlamyaing ;- 
Mawlamyaing ;Mawlamyaing ;Mawlamyaing ;12011
Mawlamyaing University ;Mawlamyaing ;Mawlamyaing ;12012
Daweizu ;Mawlamyaing ;Mawlamyaing ;12015
Daingwunkwin ;Mawlamyaing ;Mawlamyaing ;12014
Mupon ;Mawlamyaing ;Mawlamyaing ;12013
Zayyathiri ;Mawlamyaing ;Mawlamyaing ;12017
Myaingthaya ;Mawlamyaing ;Mawlamyaing ;12016
Kadoe ;Mawlamyaing ;Mawlamyaing ;12018
Mudon ;Mudon ;Mawlamyaing ;12081
Nattaung ;Mudon ;Mawlamyaing ;12082
Kamawet ;Mudon ;Mawlamyaing ;12084
Kaloutthaut ;Mudon ;Mawlamyaing ;12085
Hpaout    ;Mudon ;Mawlamyaing ;12083
Tagontaing ;Mudon ;Mawlamyaing ;- 
Paung ;Paung ;Mawlamyaing ;12051
Mottama ;Paung ;Mawlamyaing ;12052
Yinnyein ;Paung ;Thahton ;12054
Zinkyeik ;Paung ;Thahton ;12053
Kywechan ;Paung ;Thahton ;12055
Ahhlat ;Paung ;Thahton ;12056
Katon ;Paung ;Thahton ;- 
Thegone ;Paung ;Thahton ;- 
Thahton ;Thahton ;Thahton ;12041
Theinseik ;Thahton ;Thahton ;12042
Thutdamawaddy ;Thahton ;Thahton ;12043
Naungkala ;Thahton ;Thahton ;- 
Painhnetaw ;Thahton ;Thahton ;- 
Thanpyuzayet ;Thanbyuzayet ;Mawlamyaing ;12091
Panga ;Thanbyuzayet ;Mawlamyaing ;12094
Wegali ;Thanbyuzayet ;Mawlamyaing ;12093
Kyonkadat ;Thanbyuzayet ;Mawlamyaing ;12095
Kayokepi ;Thanbyuzayet ;Mawlamyaing ;- 
Ahnin ;Thanbyuzayet ;Mawlamyaing ;- 
Kyaikkhame ;Thanbyuzayet  ;Mawlamyaing ;12092
Ye ;Ye ;Mawlamyaing ;12101
Lamine ;Ye ;Mawlamyaing ;12102
Khawza ;Ye ;Mawlamyaing ;12104
Ahsin ;Ye ;Mawlamyaing ;12103
Hnitkayin ;Ye ;Mawlamyaing ;12105
Kyaungywa ;Ye ;Mawlamyaing ;12106
Zephyuthaung ;Ye ;Mawlamyaing ;- 
Taungbon ;Ye ;Mawlamyaing ;- 
