Name;Township;District;Post Code
Alar;Lewe;Naypyitaw;15032
Kanthar;Lewe;Naypyitaw;-
Kyaungyay;Lewe;Naypyitaw;-
Kyitaunkkan;Pyinmana;Naypyitaw;15014
Lewe;Lewe;Naypyitaw;15031
Minpyin;Lewe;Naypyitaw;-
NaypyitawCentral Post Office;Pyinmana;Naypyitaw;15011
Phyotekhwe;Pyinmana;Naypyitaw;-
Pyankapyay;Pyinmana;Naypyitaw;-
Pyinmana;Pyinmana;Naypyitaw;15012
Pyinmana (MyoHaung);Pyinmana;Naypyitaw;15016
Pyinmana (Sugar cane factory);Pyinmana;Naypyitaw;-
Shwemyoe;Tatkone;Naypyitaw;15022
Tatkone;Tatkone;Naypyitaw;15021
Taungnyo;Pyinmana;Naypyitaw;15015
Tharwuthti;Lewe;Naypyitaw;15033
Thayetkone;Lewe;Naypyitaw;-
The'kawgyi;Lewe;Naypyitaw;15034
Thitpotepin;Lewe;Naypyitaw;-
Yezin;Pyinmana;Naypyitaw;15013
