Name ;Township ;District ;PostCode  
Monywa ;Monywa ;Monywa ;02301
Sagaing ;Sagaing ;Sagaing ;02371
Shwebo ;Shwebo ;Shwebo ;02261
Katha ;Katha ;Katha ;02151
Kalemyo ;Kalemyo ;Kalemyo ;02091
Mawlaik ;Mawlaik ;Mawlaik ;02081
Khantee ;Khantee ;Khantee ;02031
Homalin ;Homalin ;Homalin ;02051
Tamu ;Tamu ;Tamu ;02071
Kawlin ;Kawlin ;Katha ;02181
Myinmu ;Myinmu ;Sagaing ;02341
Myaung ;Myaung ;Sagaing ;02381
Khin U ;Khin U ;Shwebo ;02231
Wetlet ;Wetlet ;Shwebo ;02281
Kantbalu ;Kantbalu ;Shwebo ;02211
Kyunhla ;Kyunhla ;Shwebo ;02201
Depeyin ;Depeyin ;Shwebo ;02251
Taze ;Taze ;Shwebo ;02221
Budalin ;Budalin ;Monywa ;02271
Ahyadaw ;Ahyadaw ;Monywa ;02291
Chaung U ;Chaung U ;Monywa ;02331
Yinmabin ;Yinmabin ;Monywa ;02311
Wuntho ;Wuntho ;Katha ;02171
Salingyi ;Salingyi ;Monywa ;02321
Pale ;Pale ;Monywa ;02351
Tigyaing ;Tigyaing ;Katha ;02191
Sagainghills ;Sagaing ;Sagaing ;02376
Ywathitgyi ;Sagaing ;Sagaing ;02374
Ywahtaung ;Sagaing ;Sagaing ;02375
Yeu ;Yeu ;Shwebo ;02241
Namakha ;Monywa ;Monywa ;02305
Kani ;Kani ;Monywa ;02121
Kyaesintaung ;Salingyi ;Monywa ;02322
Indaw ;Indaw ;Katha ;02141
Banmauk ;Banmauk ;Katha ;02131
Tahan ;Kalemyo ;Kalemyo ;02092
Kalewa ;Kalewa ;Kalemyo ;02101
Phaungpyin ;Phaungpyin ;MawLaik ;02061
Minkin ;Minkin ;Kalemyo ;02111
Mintha ;Tamu ;Tamu ;02072
Htamanthi ;Homalin ;Khantee ;02052
Layshee ;Khantee ;Khantee ;02041
Laheir ;Khantee ;Khantee ;02021
Nanyun ;Khantee ;Khantee ;02011
Pinlebu ;Pinlebu ;Katha ;02161
Sartaung ;Sagaing ;Sagaing ;02372
Nyaungpinwine ;Sagaing ;Sagaing ;02373
Kyaukmyaung ;Shwebo ;Shwebo ;02262
Seikkon ;Shwebo ;Shwebo ;02263
Shwebo Collage ;Shwebo ;Shwebo ;02264
Hlataw ;Wetlet ;Shwebo ;02282
Kabo ;Kantbalu ;Shwebo ;02215
Chatthin ;Kantbalu ;Shwebo ;02213
Htantabin ;Kantbalu ;Shwebo ;02214
Ahlon ;Monywa ;Monywa ;02303
MonywaCollage ;Monywa ;Monywa ;02304
Monywa (GTC) ;Monywa ;Monywa ;02306
Monywa Bazaar ;Monywa ;Monywa ;02302
Moda ;Katha ;Katha ;02152
Inywa ;Katha ;Katha ;02153
Mawluu ;Inntaw ;Katha ;02142
Nabar ;Inntaw ;Katha ;02143
Nankhan ;Wuntho ;Katha ;02172
Natchaung ;Kale ;Kale ;02093
Masein ;Kalewa ;Kale ;02102
Kindat ;Mawlaik ;Mawlaik ;02082
Minyar ;Phaungpyin ;Mawlaik ;02063
Thanga ;Phaungpyin ;Mawlaik ;02062
Uaungzayya ;Tamu ;Tamu ;02073
Bandoola ;Tamu ;Tamu ;02074
Myothit ;Tamu ;Tamu ;02075
Khanpart ;Tamu ;Tamu ;02076
Naungpoaung ;Homalin ;Khantee ;02053
Pansaug ;Nanyun ;Khantee ;02012
Kyarpin ;Mingin ;Kale ;02112
Meza ;Indaw ;Katha ;02144
Mowinelute ;Layshee ;Khantee ;02142
Htanparkhwe ;Laheir ;Khantee ;02022
Donhee ;Nanyun ;Khantee ;02013
Padu ;Sagaing ;Sagaing ;02377
Paline ;Shwebo ;Shwebo ;02265
HtanKone ;Kantbalu ;Shwebo ;02216
Sonechaung ;Monywa ;Monywa ;02307
Nyaungpingyi ;Monywa ;Monywa ;02308
Khinmon ;Chaung U ;Monywa ;02332
Kin ;Kani ;Monywa ;02122
Mintaingpin ;Pale ;Monywa ;02352
Koehtaungbo ;Kawlin ;Katha ;02182
Joehtaung ;Wuntho ;Katha ;02173
Myokesee ;Kale ;Kale ;02094
Taungthut ;Phaungpyin ;MawLaik ;02064
Moukkataw ;Mingin ;Kale ;02113
Thazi ;Monywa ;Monywa ;02309
Minkun ;Sagaing ;Sagaing ;- 
Ohndaw ;Sagaing ;Sagaing ;- 
Saryaeywa ;Sagaing ;Sagaing ;- 
Arlakapa ;Myinmu ;Sagaing ;- 
Kyaukyit ;Myaung ;Sagaing ;- 
Nagarpauk ;Myaung ;Sagaing ;- 
Nabat ;Myaung ;Sagaing ;- 
Parainma ;Myaung ;Sagaing ;- 
Sininn ;Shwebo ;Shwebo ;- 
Nyaungbintha ;Shwebo ;Shwebo ;- 
Mokesoechone ;Shwebo ;Shwebo ;- 
Kyartatbin ;Shwebo ;Shwebo ;- 
Shwebo No-8 Training Camp ;Shwebo ;Shwebo ;- 
Madaunghla ;Khin U ;Shwebo ;- 
Myindaung ;Khin U ;Shwebo ;- 
Paukkan ;Wetlet ;Shwebo ;- 
Shainmakar ;Wetlet ;Shwebo ;- 
Shwepankone ;Wetlet ;Shwebo ;- 
Pinttha ;Kantbalu ;Shwebo ;- 
Malal ;Kantbalu ;Shwebo ;- 
Paypinchaung ;Kyunhla ;Shwebo ;- 
Tamartaw ;Ye U ;Shwebo ;- 
Nyaunghla ;Ye U ;Shwebo ;- 
Saipyingyi ;Depeyin ;Shwebo ;- 
Tintainyan ;Depeyin ;Shwebo ;- 
Mukangyi ;Taze ;Shwebo ;- 
Kanhtooma ;Taze ;Shwebo ;- 
Nabatgyi ;Taze ;Shwebo ;- 
Kyaukkaar ;Monywa ;Monywa ;- 
Kyaymone ;Monywa ;Monywa ;- 
Moenhin ;Monywa ;Monywa ;- 
Ahmyint ;Monywa ;Monywa ;- 
Maunghtaung ;Budalin ;Monywa ;- 
Naunggyiaine ;Ahyadaw ;Monywa ;- 
Minywa ;Ahyadaw ;Monywa ;- 
Kapaing ;Yinmabin ;Monywa ;- 
Phowintaung ;Yinmabin ;Monywa ;- 
Ainetaung ;Kani ;Monywa ;- 
Yinpaungtaing ;Yinmabin ;Monywa ;- 
Pyintaw ;Kani ;Monywa ;- 
Wintmana ;Kani ;Monywa ;- 
Kyartet ;Sarlingyi ;Monywa ;- 
SarHtone ;Sarlingyi ;Monywa ;- 
Chinphit ;Pale ;Monywa ;- 
Lettaunggyi ;Pale ;Monywa ;- 
Kyauktonegyi ;Katha ;Katha ;- 
Nyaungchayhtaut ;Katha ;Katha ;- 
Kanni ;Tigyaing ;Katha ;- 
Nyaungbintha ;Tigyaing ;Katha ;- 
Myataung ;Tigyaing ;Katha ;- 
Ahlaeltaw ;Tigyaing ;Katha ;- 
Khantha ;Kawlin ;Katha ;- 
Kin ;Wuntho ;Katha ;- 
Myaelin ;Pinleibu ;Katha ;- 
Sakhangyi ;Kale ;Kale ;- 
Yarzajo ;Kale ;Kale ;- 
Pantha ;Mawlaik ;Mawlaik ;- 
Yaeouttaung ;Phaungpyin ;Mawlaik ;- 
Kywaywa ;Phaungpyin ;Mawlaik ;- 
ChaungWa ;Phaungpyin ;Mawaik ;- 
Thintaw ;Phaungpyin ;Mawlaik ;- 
Bokekan ;Tamu ;Tamu ;- 
Thanan ;Tamu ;Tamu ;- 
Kawyar ;Homelain ;Kantee ;- 
Maungkham ;Homelain ;Kantee ;- 
Naungsankyin ;Homelain ;Kantee ;- 
Ywakonegyi ;Kyunhla ;Shwebo ;- 
Nanttaw ;Homelain ;Khantee ;- 
Ywashaemyauk ;Taze ;Shwebo ;- 
< Prev ;;;
Next > ;;;
 ;;;
 ;;;
thumb_up Do you like this? Share it to friends..;;;
;;;
;;;
;;;
comment Tell others what you think.. Your reviews and comments are valuable to others..;;;
You are here: Myanmar Guide & Reviews 🏠 / Myanmar Postal Codes / Sagaing Region Postal Codes / Zipcodes, Myanmar ;;;
More in this section...;;;
Ayeyarwaddy Region Postal Codes / Zipcodes, Myanmar  ;;;
Bago Region Postal Codes / Zipcodes, Myanmar  ;;;
Chin State Postal Codes / Zipcodes, Myanmar  ;;;
Kachin State Postal Codes / Zipcodes, Myanmar  ;;;
Kayah State Postal Codes / Zipcodes, Myanmar  ;;;
Kayin State Postal Codes / Zipcodes, Myanmar  ;;;
Magway Region Postal Codes / Zipcodes, Myanmar  ;;;
Mandalay Region Postal Codes / Zipcodes, Myanmar  ;;;
Mon State Postal Codes / Zipcodes, Myanmar  ;;;
