Township;Name;District;PostCode
Chinshwehaw;Chinshwehaw;Laukkaing;06482
Homain;Homain;Linkhe;06202
Hopan;Hopan;Konelone;06391
Hopan;Nanttit;Konlon;06392
Hopan;Panlone;Konlon;06393
Hopone;Hopone;Taunggyi;06091
Hopone;Kyaukkacha;Taunggyi;06092
Hopone;Kyauktan;Taunggyi;06093
Inndaw;Inndaw;Taunggyi;06073
Kalaw;Aungpan;Taunggyi;06022
Kalaw;Bawsai;Taunggyi;06024
Kalaw;Heho;Taunggyi;06023
Kalaw;Kalaw;Taunggyi;06021
Kalaw;Myindike;Taunggyi;-
Kalaw;Wetpyuyae;Taunggyi;06025
Karli;Karli;Loilin;06213
Khollan;Khollan;Loilin;06163
Khonegyan;Khonegyan;Laukkaing;06531
Konhein;Konhein;Loilin;06211
Konhein;Tarkaw;Loilin;06212
Konlon;Konlon;Konlon;06381
Kutkai;Kaungkhar;Muse;06374
Kutkai;Kutkai;Muse;06372
Kutkai;Manpyain;Muse;-
Kutkai;Nantphatka;Muse;06373
Kutkai;Tamoehnye;Muse;06371
Kyainglatt;Kyainglatt;Tachileik;06273
Kyainglatt;Wanpon;Tachileik;06274
Kyaingtaung;Kyaingtaung(Tonhone);Linkhe;06172
Kyaingtong;Kyaingtong;Kyaingtong;06231
Kyaingtong;Loimwe;Kyaingtong;06233
Kyaingtong;Minekai;Kyaingtong;06234
Kyaukme;Kyaukme;Kyaukme;06321
Kyaukme;Maingngwet;Kyaukme;06322
Kyaukme;Maingtin;Kyaukme;06325
Kyaukme;Naungpain;Kyaukme;06323
Kyauktalone;Kyauktalone;Taunggyi;06016
Kyaythee;Kyaytheemamsan;Loilin;06151
Kyaythee;Wansin;Loilin;06153
Laecha;Laecha;Loilin;06121
Lashio;Lashio;Lashio;06301
Lashio;Lashiogyi;Lashio;06302
Lashio;Maingyaw;Lashio;06304
Lashio;Manphwe;Lashio;-
Lashio;Mansanyaekya;Lashio;06303
Lashio;Nanthmaw;Lashio;-
Lashio;Nantpaung;Lashio;-
Lashio;Naungmon;Lashio;-
Lashio;Sininn;Lashio;-
Laukkaing;Laukkaing;Laukking;06481
Linkhe;Linkhe;Linkhe;06191
Loilin;Loilin;Loilin;06111
Loilin;Minepon;Loilin;06112
Mabain;Mabain;Kyaukme;06451
Manton;Manton;Kyaukme;06541
Maukmai;Kaduugyi;Linkhe;06182
Maukmai;Maukmai;Linkhe;06181
Minekai;Minekai;Loilin;06131
Minekhat;Minekhat;Kyaingtong;06471
Minekhote;Minekhote;Minesatt;06282
Minelar;Minelar;Kyaingtong;06232
Minelar;Minema;Kyaingtong;06235
Minemaw;Minemaw;Lashio;06521
Minenaung;Minenaung;Loilin;06152
Minepan;Minepan;Linkhe;06201
Minephat;Minephat;Minephat;06251
Minepyin;Metman;Kyaingtong;06461
Minepyin;Minepyin;Kyaingtong;06221
Minepyin;Tonta;Kyaingtong;06222
Minesan;Minesan;Loilin;06142
Minesatt;Minesatt;Minesatt;06281
Mineshue;Mineshue;Loilin;06141
Mineshue;Wantkan;Loilin;06142
Mineton;Mineton;Minesatt;06291
Mineton;Ponpakyin;Minesatt;06292
Mineyang;Minepauk;Kyaingtong;06242
Mineyang;Mineyang;Kyaingtong;06241
Mineyang;Seloo;Kyaingtong;06243
Mineyaung;Hotaung;Minepyat;06263
Mineyaung;Minewa;Minepyat;06264
Mineyaung;Mineyaung;Minephat;06261
Mineyel;Mineyel;Lashio;06421
Mineyu;Mineyu;Minepyat;06262
Moemake;Mankyeepin;Kyaukme;-
Moemate;Moemate;Kyaukme;06441
Moenae';Moenae';Linkhe;06171
Muse;Kyugoke;Muse;06402
Muse;Manheiro;Muse;06403
Muse;Monekoe;Muse;06404
Muse;Muse;Muse;06401
Muse;Sellan;Muse;-
Nankham;Monewee;Muse;06412
Nankham;Nankham;Muse;06411
Nanmatu;Kyarsakhan;Kyaukme;-
Nanmatu;Maingyin;Kyaukme;-
Nanmatu;Mansan;Kyaukme;-
Nantkham;Manaung;Muse;-
Nantmatu;Bawtwin;Kyaukme;06351
Nantmatu;Nantmatu;Kyaukme;06352
Nantsan;Mineseike;Loilin;06162
Nantsan;Nantsan;Loilin;06161
Nantsan(Ma);Nantsan;Kyaukme;06331
Narfant;Wyainkaung;Lashio;06511
Naungcho;Bantbway;Kyaukme;-
Naungcho;Kangyi;Kyaukme;06313
Naungcho;Mainglone;Kyaukme;06324
Naungcho;Naungcho;Kyaukme;06311
Naungcho;Samsal;Kyaukme;06312
Naungcho;Shwepyinyunt;Kyaukme;-
Naungcho;Thonesel;Kyaukme;06314
Naungtayar;Naungtayar;Taunggyi;06053
Nyaungshwe;Innhlar;Taunggyi;06086
Nyaungshwe;Innpawkhon;Taunggyi;06083
Nyaungshwe;Khaungtaing;Taunggyi;06088
Nyaungshwe;Kyaysargone;Taunggyi;-
Nyaungshwe;Minethouk;Taunggyi;06084
Nyaungshwe;Nanpan;Taunggyi;06085
Nyaungshwe;Ngaphe'chaung;Taunggyi;06087
Nyaungshwe;Nyaungshwe;Taunggyi;06081
Nyaungshwe;Sagar;Taunggyi;-
Nyaungshwe;Ywama;Taunggyi;06082
Pansan;Pansan;Lashio;06491
Panwinedaytha;Panwine;Lashio;06501
Phiekon;Kharatdon;Taunggyi;06064
Phiekon;Moebywe;Taunggyi;06062
Phiekon;Phiekon;Taunggyi;06061
Phiekon;Shwepyiaye;Taunggyi;06064
Pinlaung;Pinlaung;Taunggyi;06051
Pinlone;Pinlone;Loilin;06113
Pinlone;Pinlone University;Loilin;06114
Pinlong;Tikyit;Taunggyi;06052
Pintaya;Kyone;Taunggyi;-
Pintaya;Mineinn;Taunggyi;-
Pintaya;Pintaya;Taunggyi;06031
