Name ;Township ;District ;PostCode  
Dawei ;Dawei ;Dawei ;14011
Myeik ;Myeik ;Myeik ;14051
Kawthaung ;Kawthaung ;Kawthaung ;14091
Maungmagun ;Launglone ;Dewei ;14042
Thayetchaung ;Thayetchaung ;Dewei ;14031
Yephyu ;Yephyu ;Dewei ;14021
Kanbauk ;Yephyu ;Dewei ;14022
Myeik Cantonment ;Myeik ;Myeik ;14053
Paloug ;Pulaw ;Myeik ;14064
Dawei University ;Launglone ;Dewei ;14043
Launglone ;Launglone ;Dewei ;14041
Kyunzu ;Kyunzu ;Myeik ;14101
Palaw ;Palaw ;Myeik ;14062
Tanintharyi ;Tanintharyi ;Myeik ;14071
Bokpyin ;Bokpyin ;Kawthaung ;14081
Kyaukmetaung ;Dawei ;Dawei ;14012
Heinda ;Dawei ;Dawei ;14013
Dawei Cantonment ;Dawei ;Dawei ;14014
Kyauknimaw ;Launglone ;Dawei ;14044
Nyaungzin ;Thayetchaung ;Dawei ;14032
Kaleinaung ;Yephyu ;Dawei ;14023
Pala ;Pulaw ;Myeik ;14062
Shatpon ;Pulaw ;Myeik ;14063
Kawthaung Cantonment ;Kawthaung ;Kawthaung ;14092
Pyigyimandaing ;Bokpyin ;Kawthaung ;14083
Khamoukgyi ;Kawthaung ;Kawthaung ;14093
Myittar ;Dawei ;Dawei ;14015
Karathuri ;Bokpyin ;Kawthaung ;14082
Myeik University ;Myeik ;Myeik ;14052
Myeik Myotthit ;Myeik ;Myeik ;14054
Maungmalshaung ;Dawei ;Dawei ;14016
Thakyettaw ;Launglone ;Dawei ;14045
Yephyu-Lower ;Launglone ;Dawei ;14046
Thamoke ;Myeik ;Myeik ;14055
YaNge' ;Thayetchaung ;Dawei ;14033
Pagawzun ;Yephyu ;Dawei ;14024
Pakargyi ;Dawei ;Dawei ;- 
Thapyayshaung ;Launglone ;Dawei ;- 
Innsouth ;Launglone ;Dawei ;- 
Pae'dat ;Thayetchaung ;Dawei ;- 
Nabulal ;Yephyu ;Dawei ;- 
Nyaungbinkwin ;Tanintharyi ;Myeik ;- 
Malione ;Kawthaung ;Kawthaung ;- 
Aungbar ;Kawthaung ;Kawthaung ;- 
Chaungkaphee ;Bokpyin ;Kawthaung ;- 
Zardatgyi ;Kawthaung ;Kawthaung ;- 
Raphu ;Yephyu ;Dawei ;- 
Natgyisin ;Yephyu ;Dawei ;- 
Dawkyaeywa ;Myeik ;Myeik ;- 
Shinmotehtee ;Thayetchaung ;Dawei ;- 
